Contract.Date	Transaction.Date	Address	Price	Block.Size.m2	Transaction.Type	Purpose	Advertise.Date	Bed.Num	Bath.Num	Ensuite.Num	Garage.Num	Carport.Num
13/08/2013	18/09/2013	19 Elkedra Close	480000	302	Full transfer	Medium density dwelling	30/07/2013	3	1	NA	1	NA
17/04/2013	NA	13/188 Hawker Place *	475000	NA	Full transfer	NA	29/01/2013	3	1	1	2	NA
17/04/2013	4/06/2013	13/170 Hawker Place	475000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
6/11/2013	17/12/2013	7/3 Jinka Street	465000	3531	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/12/2013	5/02/2014	44 Epenarra Close	460000	316	Full transfer	Medium density dwelling	20/11/2013	3	1	0	1	NA
1/08/2013	29/08/2013	150 Murranji Street	435000	287	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
10/04/2013	12/07/2013	11 Gorrie Close	425000	302	Full transfer	Medium density dwelling	5/03/2013	3	1	NA	1	NA
26/01/2013	12/04/2013	6 Elkedra Close	420000	301	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
26/11/2013	14/01/2014	156 Murranji Street	417000	484	Full transfer	Medium density dwelling	3/10/2013	2	2	NA	NA	2
7/03/2013	21/05/2013	14/8 Walhallow Street	410000	8574	Full transfer	Multiple unit dwelling	25/01/2013	3	1	NA	NA	1
29/10/2013	19/12/2013	20 Walhallow Street	406000	437	Full transfer	Medium density dwelling	2/05/2013	3	1	1	1	NA
24/10/2013	NA	48 Epennara Close *	400000	394	Full transfer	NA	16/04/2013	3	2	0	1	NA
24/10/2013	20/11/2013	48 Epenarra Close	400000	394	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
30/07/2013	13/09/2013	134 Murranji Street	395000	379	Full transfer	Medium density dwelling	26/06/2013	3	1	NA	1	NA
28/08/2013	27/11/2013	128 Murranji Street	390000	309	Full transfer	Medium density dwelling	9/07/2013	3	1	NA	1	NA
21/06/2013	25/07/2013	13/21 Jinka Street	380000	10221	Full transfer	Multiple unit dwelling	2/04/2013	3	1	NA	NA	1
13/05/2013	5/07/2013	4/21 Jinka Street	373000	10221	Full transfer	Multiple unit dwelling	25/03/2013	2	1	NA	1	NA
19/07/2013	10/09/2013	4/3 Jinka Street	371250	3531	Full transfer	Multiple unit dwelling	29/04/2013	2	1	NA	1	NA
27/03/2013	29/05/2013	15/32 Springvale Drive	320000	4247	Full transfer	Multiple unit dwelling	28/02/2013	3	2	NA	NA	1
24/04/2013	6/06/2013	2/30 Springvale Drive	315000	4017	Full transfer	Multiple unit dwelling	25/02/2013	3	1	1	NA	NA
21/08/2013	20/10/2013	10/28 Springvale Drive	309750	3934	Full transfer	Multiple unit dwelling	6/06/2013	3	2	NA	1	NA
18/04/2013	28/05/2013	2/153 Murranji Street	285000	5542	Full transfer	Multiple unit dwelling	6/03/2013	2	1	NA	NA	1
29/08/2013	NA	20/30 Springvale Drive *	269000	4017	Full transfer	NA	25/07/2013	2	1	NA	1	NA
29/04/2013	4/07/2013	12/30 Springvale Drive	265000	4017	Full transfer	Multiple unit dwelling	18/03/2013	2	1	NA	NA	1
22/02/2013	NA	7/153 Murranji Street *	265000	0	Full transfer	NA	26/01/2013	2	1	0	NA	1
14/11/2013	18/12/2013	11/153 Murranji Street	263000	5542	Full transfer	Multiple unit dwelling	11/09/2013	2	1	NA	NA	1
25/06/2013	NA	21/153 Murranji Street *	262000	5542	Full transfer	NA	30/04/2013	2	1	NA	NA	1
26/07/2013	3/09/2013	19/26 Springvale Drive	260000	4379	Full transfer	Multiple unit dwelling	10/12/2012	2	1	NA	NA	1
30/05/2013	2/07/2013	13/32 Springvale Drive	251000	4247	Full transfer	Multiple unit dwelling	3/05/2013	2	1	NA	NA	1
3/04/2013	4/06/2013	3/26 Springvale Drive	230100	4379	Full transfer	Multiple unit dwelling	24/10/2012	1	1	NA	NA	1
3/06/2013	31/07/2013	14/26 Springvale Drive	217000	4379	Full transfer	Multiple unit dwelling	6/05/2013	1	1	NA	NA	1
19/06/2013	5/08/2013	10/74 Hawker Place	158400	447	Full transfer	Non retail commercial uses	NA	NA	NA	NA	NA	NA
3/05/2013	28/11/2013	4/9 Jinka Street	125000	3362	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
15/02/2013	4/06/2013	16 Marrakai Street	0	2852	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
29/01/2013	16/12/2013	11/28 Springvale Drive	0	3934	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
24/07/2013	26/11/2013	16/4 Beetaloo Street	0	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/11/2013	24/12/2013	4 Goodparla Street	0	1163	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
16/09/2013	18/11/2013	22 Goodparla Street	0	1114	Full transfer	Single residential dwelling...	NA	NA	NA	NA	NA	NA
14/01/2013	3/07/2013	24/1 Delamere Street	0	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/10/2013	4/06/2014	5/42 Jinka Street	0	6092	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/04/2013	4/09/2013	15 Murranji Street	0	933	Full transfer	Single residential dwelling...	NA	NA	NA	NA	NA	NA
31/03/2013	29/10/2013	60 Erldunda Circuit	0	1176	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
23/07/2013	10/02/2014	24 Elsey Street	0	1225	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
17/07/2013	3/09/2013	25 Alroy Circuit	0	770	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
12/03/2013	2/07/2013	18 Moroak Street	0	1231	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
21/10/2013	10/02/2014	4/9 Jinka Street	0	3362	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
5/07/2013	9/08/2013	8 Moroak Street	0	1035	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
22/11/2012	19/02/2013	11 Tanumbirini Street	915000	1416	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
1/05/2012	20/06/2012	6 Kurundi Place	897500	1486	Full transfer	Single residential dwelling	28/02/2012	5	1	2	3	NA
29/06/2012	6/08/2012	5 Kurundi Place	895000	1127	Full transfer	Single residential dwelling	28/05/2012	4	1	2	2	NA
22/09/2012	29/01/2013	16 Dungowan Street	823000	1412	Full transfer	Single residential dwelling	23/06/2012	3	1	NA	NA	2
28/08/2012	NA	17 Erldunda Circuit *	800000	910	Full transfer	NA	15/08/2012	5	1	2	2	NA
28/09/2012	28/11/2012	48 Woolner Circuit	785000	1091	Full transfer	Single residential dwelling	29/08/2012	4	1	1	NA	2
19/10/2012	27/11/2012	16 Woolner Circuit	785000	1184	Full transfer	Single residential dwelling	29/09/2012	5	2	1	2	NA
26/04/2012	3/06/2012	5 Andado Place	780000	1501	Full transfer	Single residential dwelling	19/03/2012	3	1	1	2	NA
6/12/2012	21/03/2013	7 Tobermorey Place	735000	1112	Full transfer	Single residential dwelling	14/11/2012	4	1	1	4	1
17/02/2012	10/08/2012	3 Andado Place	730000	1341	Full transfer	Single residential dwelling	6/10/2011	4	1	1	NA	2
18/09/2012	22/11/2012	4/12 Andado Place	700000	4834	Full transfer	Multiple unit dwelling	15/08/2012	4	1	1	2	NA
20/12/2012	15/04/2013	4 Moroak Street	680000	1260	Full transfer	Single residential dwelling	31/10/2012	4	1	1	NA	2
30/04/2012	NA	50 Tanumbirini Street *	657500	1172	Full transfer	NA	12/01/2012	5	1	1	2	NA
7/05/2012	14/06/2012	23 Tanumbirini Street	650000	885	Full transfer	Single residential dwelling	5/03/2012	5	1	2	2	NA
25/10/2012	19/12/2012	10/1 Delamere Street	650000	18341	Full transfer	Multiple unit dwelling	4/10/2012	3	1	1	2	NA
26/04/2012	27/06/2012	26 Kulgera Street	635000	825	Full transfer	Single residential dwelling	21/09/2011	5	2	1	NA	2
13/07/2012	6/08/2012	14 Kulgera Street	630000	825	Full transfer	Single residential dwelling	3/05/2012	3	1	2	2	NA
4/12/2012	7/02/2013	13/10 Jinka Street	585000	7726	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/12/2012	NA	20 Jinka Street *	585000	NA	Full transfer	NA	14/11/2012	3	1	1	2	NA
11/07/2012	3/09/2012	100 Murranji Street	578000	919	Full transfer	Single residential dwelling	5/04/2012	4	1	1	2	NA
24/01/2012	NA	30 Jinka Street *	525000	NA	Full transfer	NA	19/01/2012	3	1	1	2	NA
12/01/2012	27/02/2012	7/2 Undoolya Street	440000	5017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
22/02/2012	28/03/2012	4/27 Jinka Street	437500	6071	Full transfer	Multiple unit dwelling	10/11/2011	3	1	1	1	NA
10/08/2012	19/09/2012	4/170 Hawker Place	429950	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
19/04/2012	3/06/2012	6/170 Hawker Place	420000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
30/05/2012	30/07/2012	5/170 Hawker Place	418000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
30/05/2012	30/07/2012	3/170 Hawker Place	418000	2538	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
14/02/2012	15/03/2012	10/8 Walhallow Street	412500	8574	Full transfer	Multiple unit dwelling	17/11/2011	3	1	NA	NA	1
23/02/2012	21/03/2012	138 Murranji Street	409000	330	Full transfer	Medium density dwelling	31/01/2012	3	1	NA	1	NA
12/10/2012	14/11/2012	6/27 Jinka Street	408000	6071	Full transfer	Multiple unit dwelling	10/08/2012	3	1	1	1	NA
28/08/2012	9/10/2012	3/21 Jinka Street	405000	10221	Full transfer	Multiple unit dwelling	8/08/2012	2	1	NA	1	NA
18/01/2012	22/02/2012	22 Epenarra Close	405000	297	Full transfer	Medium density dwelling	27/10/2011	3	1	NA	NA	1
17/02/2012	24/04/2012	13/8 Walhallow Street	397000	8574	Full transfer	Multiple unit dwelling	9/02/2012	3	1	NA	NA	1
20/11/2012	20/12/2012	16 Elkedra Close	395000	297	Full transfer	Medium density dwelling	9/10/2012	2	1	NA	NA	1
5/06/2012	NA	10/27 Jinka Street *	395000	6071	Full transfer	NA	5/03/2012	3	1	1	1	NA
20/06/2012	23/07/2012	22 Elkedra Close	391000	263	Full transfer	Medium density dwelling	26/04/2012	2	1	NA	1	NA
17/12/2012	31/01/2013	19 Gorrie Close	378000	279	Full transfer	Medium density dwelling	4/09/2012	2	1	NA	1	NA
24/02/2012	16/04/2012	4/8 Walhallow Street	375000	8574	Full transfer	Multiple unit dwelling	11/01/2012	2	1	NA	NA	NA
10/10/2012	20/11/2012	7 Woolner Circuit	365574	279	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
2/05/2012	24/06/2012	26 Goodparla Street	325000	1059	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
24/01/2012	6/03/2012	19/8 Beetaloo Street	300000	5520	Full transfer	Multiple unit dwelling	16/11/2011	2	1	NA	NA	1
2/10/2012	20/12/2012	1/4 Beetaloo Street	300000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
2/10/2012	NA	1A/4 Beetaloo Street *	300000	7773	Full transfer	NA	29/08/2012	2	1	NA	NA	1
27/01/2012	6/03/2012	11/4 Beetaloo Street	290000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
31/07/2012	7/09/2012	23/26 Springvale Drive	270000	4379	Full transfer	Multiple unit dwelling	17/05/2012	2	1	NA	NA	1
25/06/2012	5/08/2013	21/153 Murranji Street	262000	5542	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
29/03/2012	7/05/2012	13/121 Hawker Place	260000	3750	Full transfer	"Office,professional suite"	NA	NA	NA	NA	NA	NA
20/09/2012	NA	22/30 Springvale Drive *	250000	4017	Full transfer	NA	29/05/2012	2	1	NA	1	1
12/10/2012	22/11/2012	4/28 Springvale Drive	250000	3934	Full transfer	Multiple unit dwelling	11/09/2012	2	1	NA	1	NA
8/10/2012	21/11/2012	21/1 Delamere Street	0	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
16/09/2012	22/01/2013	90 Erldunda Circuit	0	1592	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
28/02/2012	1/03/2012	4 Dungowan Street	0	748	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
12/12/2012	19/07/2013	19 Elkedra Close	0	302	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
2/05/2012	4/01/2013	28 Mataranka Street	0	1005	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
25/08/2012	10/10/2012	89 Erldunda Circuit	0	978	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
4/09/2012	7/12/2012	88 Springvale Drive	0	1379	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
17/08/2012	30/09/2012	8 Gorrie Close	0	286	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
19/11/2012	27/02/2013	116 Murranji Street	0	949	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
16/07/2012	27/08/2012	4 Dungowan Street	0	748	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
18/01/2012	2/05/2013	32 Marrakai Street	0	1649	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
19/10/2012	4/02/2013	16 Mainoru Place	0	1514	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
25/10/2012	20/11/2012	14/8 Walhallow Street	0	8574	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
3/03/2011	8/04/2011	13 Kurundi Place	955000	1442	Full transfer	Single residential dwelling	3/06/2010	4	2	1	2	NA
7/04/2011	31/05/2011	32 Elsey Street	900000	1141	Full transfer	Single residential dwelling	23/11/2010	5	1	1	2	NA
1/10/2011	5/12/2011	11 Marrakai Street	875000	1225	Full transfer	Single residential dwelling	8/09/2011	4	1	1	4	NA
8/09/2011	15/05/2012	30 Mataranka Street	871000	952	Full transfer	Single residential dwelling	17/08/2011	4	1	1	4	NA
17/09/2011	30/01/2012	17 Andado Place	860000	1931	Full transfer	Single residential dwelling	26/08/2011	4	1	1	2	NA
11/02/2011	13/04/2011	64 Alroy Circuit	850000	792	Full transfer	Single residential dwelling	4/02/2011	4	1	2	2	NA
12/04/2011	3/06/2011	39 Tanumbirini Street	830000	892	Full transfer	Single residential dwelling	24/01/2011	4	1	1	2	NA
28/10/2011	5/12/2011	24 Ambalindum Street	820000	1189	Full transfer	Single residential dwelling	27/09/2011	5	1	2	NA	NA
15/10/2011	13/12/2011	25 Alexandria Street	795000	1233	Full transfer	Single residential dwelling	23/09/2011	4	1	1	2	2
29/10/2011	23/01/2012	9 Tanumbirini Street	770000	1230	Full transfer	Single residential dwelling	4/10/2011	5	2	1	NA	2
20/06/2011	14/08/2011	31 Ambalindum Street	750000	1326	Full transfer	Single residential dwelling	16/06/2011	4	1	1	2	NA
24/09/2011	1/11/2011	52 Woolner Circuit	715000	1212	Full transfer	Single residential dwelling	1/09/2011	4	1	1	NA	2
17/10/2011	12/04/2012	25/1 Delamere Street	700000	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
22/12/2011	30/01/2012	1 Tobermorey Place	698000	1098	Full transfer	Single residential dwelling	8/11/2011	4	1	1	3	NA
27/05/2011	1/08/2011	62 Alroy Circuit	685000	792	Full transfer	Single residential dwelling	NA	NA	NA	NA	NA	NA
3/05/2011	4/07/2011	13 Alroy Circuit	670000	834	Full transfer	Single residential dwelling	17/03/2011	4	1	1	2	NA
9/09/2011	1/11/2011	2/13 Andado Place	650000	2189	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
14/01/2011	28/02/2011	1/8 Elsey Street	650000	1614	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
14/09/2011	NA	13 Andado Place *	650000	1204	Full transfer	NA	13/07/2011	4	1	1	2	NA
22/07/2011	12/10/2011	29/1 Delamere Street	640000	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
30/11/2011	5/04/2012	16/1 Delamere Street	620000	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
11/08/2011	23/09/2011	9 Alroy Circuit	610000	925	Full transfer	Single residential dwelling	14/06/2011	4	1	1	2	NA
17/03/2011	10/05/2011	4/1 Delamere Street	600000	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
22/12/2011	21/02/2012	8 Marqua Place	485000	464	Full transfer	Medium density dwelling	13/12/2011	3	1	1	2	NA
15/11/2011	20/12/2011	2/42 Jinka Street	475000	6092	Full transfer	Multiple unit dwelling	5/10/2011	3	1	1	2	NA
28/10/2011	NA	2 Gorrie Close *	470000	596	Full transfer	NA	27/05/2011	3	1	1	1	NA
21/02/2011	5/04/2011	9 Marqua Place	460000	386	Full transfer	Medium density dwelling	20/01/2011	3	1	1	2	NA
26/07/2011	19/09/2011	136 Murranji Street	453000	399	Full transfer	Medium density dwelling	21/06/2011	3	1	NA	1	1
28/03/2011	10/05/2011	38 Epenarra Close	448000	316	Full transfer	Medium density dwelling	10/03/2011	3	1	0	1	NA
21/12/2011	5/03/2012	3/1 Limbunya Street	442000	2159	Full transfer	Multiple unit dwelling	10/11/2011	3	1	1	1	NA
28/01/2011	5/12/2011	7/41 Jinka Street	441000	10583	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
28/10/2011	NA	7/41 Jinka Street *	441000	10583	Full transfer	NA	20/10/2011	3	1	1	NA	2
20/05/2011	15/11/2011	148 Murranji Street	440000	300	Full transfer	Medium density dwelling	4/03/2011	3	1	NA	1	NA
1/09/2011	24/10/2011	7/8 Walhallow Street	435000	8574	Full transfer	Multiple unit dwelling	10/08/2011	3	1	NA	NA	1
23/05/2011	20/07/2011	3/7 Limbunya Street	432000	2075	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
23/05/2011	NA	4/7 Limbunya Street *	432000	2075	Full transfer	NA	28/04/2011	3	1	1	1	NA
1/04/2011	10/05/2011	13/41 Jinka Street	425000	10583	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
6/05/2011	9/06/2011	17 Elkedra Close	420000	302	Full transfer	Medium density dwelling	3/03/2011	3	1	NA	1	NA
21/09/2011	10/11/2011	3/27 Jinka Street	418000	6071	Full transfer	Multiple unit dwelling	14/04/2011	3	1	1	1	NA
8/06/2011	2/08/2011	24 Epenarra Close	415000	334	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
7/09/2011	8/11/2011	39 Elkedra Close	410000	311	Full transfer	Medium density dwelling	12/07/2011	3	1	NA	1	NA
26/11/2011	NA	1/41 Jinka Street *	410000	10583	Full transfer	NA	12/08/2011	3	1	1	NA	1
20/09/2011	20/10/2011	11/8 Walhallow Street	400000	8574	Full transfer	Multiple unit dwelling	28/06/2011	3	1	NA	NA	1
2/11/2011	12/12/2011	23 Elkedra Close	392500	297	Full transfer	Medium density dwelling	12/08/2011	3	1	NA	NA	2
21/02/2011	7/04/2011	2/21 Jinka Street	391000	10221	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
15/04/2011	23/05/2011	17/21 Jinka Street	388000	10221	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
1/07/2011	5/09/2011	25 Elkedra Close	350000	353	Full transfer	Medium density dwelling	NA	NA	NA	NA	NA	NA
23/12/2011	23/03/2012	21/28 Springvale Drive	325000	3934	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
15/04/2011	24/05/2011	10/30 Springvale Drive	323000	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
21/04/2011	NA	10/30 Springvale Drive *	323000	4017	Full transfer	NA	24/03/2011	3	1	1	NA	1
18/08/2011	28/09/2011	17/30 Springvale Drive	320000	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
25/02/2011	12/04/2011	31/4 Beetaloo Street	315000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
4/11/2011	11/01/2012	18/32 Springvale Drive	305000	4247	Full transfer	Multiple unit dwelling	12/10/2011	3	1	1	NA	1
9/09/2011	5/12/2011	5/3 Bonrook Street	300000	3862	Full transfer	Multiple unit dwelling	28/06/2011	2	1	NA	NA	1
6/05/2011	22/06/2011	19/30 Springvale Drive	292500	4017	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
28/02/2011	NA	10/8 Beetaloo Cct *	290000	5520	Full transfer	NA	3/02/2011	2	NA	NA	NA	NA
6/06/2011	22/08/2011	17/153 Murranji Street	289950	5542	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
8/06/2011	18/07/2011	27/4 Beetaloo Street	288000	7773	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
9/06/2011	NA	3D/4 Beetaloo St *	288000	NA	Full transfer	NA	28/02/2011	2	1	NA	NA	1
28/02/2011	24/05/2011	10/8 Beetaloo Street	277500	5520	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
8/09/2011	15/11/2011	14/32 Springvale Drive	275000	4247	Full transfer	Multiple unit dwelling	14/06/2011	2	1	NA	NA	1
14/01/2011	NA	10/3 Bonrook Street *	275000	3862	Full transfer	NA	29/10/2010	2	1	NA	NA	1
13/01/2011	17/02/2011	10/3 Bonrook Street	273000	3862	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
20/07/2011	29/08/2011	12/32 Springvale Drive	269500	4247	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
5/06/2011	15/04/2013	6/1 Delamere Street	0	18341	Full transfer	Multiple unit dwelling	NA	NA	NA	NA	NA	NA
